records,throughput,memory_bytes,adds,modifies,cancels,trades,fills,add_p50_ns,add_p99_ns,add_p999_ns,modify_p50_ns,modify_p99_ns,modify_p999_ns,cancel_p50_ns,cancel_p99_ns,cancel_p999_ns,trade_p50_ns,trade_p99_ns,trade_p999_ns,fill_p50_ns,fill_p99_ns,fill_p999_ns
299000000,5779231,195279608,482752,0,491819,14858,10571,60,340,501,0,0,0,111,531,772,30,41,60,110,451,721
300000000,5820393,195279608,479390,0,490715,17602,12293,51,341,501,0,0,0,110,541,792,20,40,50,110,441,671
301000000,5813562,195279608,479621,0,492628,16126,11625,60,331,511,0,0,0,110,531,772,20,50,50,110,431,541
302000000,5766144,195279608,477539,0,490846,18146,13469,60,341,491,0,0,0,110,541,791,20,41,60,110,551,811
303000000,5706169,195279608,478119,0,490645,18098,13138,60,360,511,0,0,0,111,541,801,20,40,51,110,561,712
304000000,5526064,195279608,470869,0,485848,24861,18422,60,351,511,0,0,0,120,561,812,20,40,50,110,531,632
305000000,5759491,195279608,476971,0,490547,18769,13713,60,351,501,0,0,0,110,541,792,20,40,60,110,551,652
306000000,5763483,195279608,477452,0,493627,16692,12229,60,341,521,0,0,0,110,541,811,20,40,50,110,461,661
307000000,5729016,195279608,478995,0,490280,17958,12767,60,351,491,0,0,0,111,541,782,20,50,50,110,531,681
308000000,5864081,195279608,476289,0,490210,19435,14066,50,321,491,0,0,0,110,541,821,20,40,50,110,571,781
309000000,5717649,195279608,476123,0,491626,18640,13611,51,341,521,0,0,0,111,551,802,20,40,50,110,501,691
310000000,5850997,195279608,477434,0,491063,18137,13366,50,340,491,0,0,0,110,531,772,20,40,51,110,471,581
311000000,5910968,195279608,480164,0,492353,16089,11394,50,331,541,0,0,0,110,531,791,20,50,50,110,461,681
312000000,5946161,195279608,479063,0,492013,16894,12030,50,331,501,0,0,0,110,531,811,20,41,50,110,481,702
313000000,5952775,195279608,476516,0,489605,19840,14039,50,321,491,0,0,0,110,531,792,20,40,50,110,471,692
314000000,5861608,195279608,477454,0,491269,18237,13040,60,341,491,0,0,0,110,531,791,20,41,60,110,471,671
315000000,5799554,195279608,476003,0,490942,19262,13793,50,341,511,0,0,0,111,551,821,20,40,50,110,511,792
316000000,5901841,195279608,478149,0,492572,17396,11883,50,341,501,0,0,0,110,521,772,20,40,50,110,461,641
317000000,5765863,195279608,477098,0,492104,17823,12975,50,340,511,0,0,0,111,541,801,20,40,50,110,501,632
